nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
CHOCÓ,MEDIO SAN JUAN,IE JOAQUIN URRUTIA,CABECERA MUNICIPAL ANDAGOYA
CAUCA,TIMBÍO,I.E. PROMOCION SOCIAL,VEREDA HATO VIEJO
NORTE DE SANTANDER,CÚCUTA,JARD INF AQUI ENTRE NI¥OS,CLL 9 NO 4E-22
MAGDALENA,SANTA MARTA,C0LEGIO CRISTIANO LA ESPERANZA,KR 20 A 24 56
SANTANDER,BUCARAMANGA,COL SANTA TERESITA DEL NIÑO JESÚS                                                                   ,CR 43 NO 34A-11 BARRIO ALVAREZ
VALLE DEL CAUCA,CALI,COLEGIO LOS SAUCES,CRA. 42 BIS 13 -92
BOLÍVAR,MOMPÓS,I.E. TECNICA COLEGIO NACIONAL PINILLOS,CL 18 2 B 44
ANTIOQUIA,TURBO,I.E. COMUNAL SAN JORGE LA PIÑA,SAN JORGE
NARIÑO,RICAURTE,CENTRO EDUCATIVO PEÑAS BLANCAS,VDA PEÑAS BLANCAS
NARIÑO,BARBACOAS,CENTRO EDUCATIVO NUESTRA SEÑORA DE FATIMA DE JUNIN,CARRET NAL
VALLE DEL CAUCA,CALI,LICEO SAN JUAN XXIII,AV 3 F NORTE 42 48
VICHADA,CUMARIBO,C.E. INTERNADO LA LIBERTAD,VDA MALICIA LA LIBERTAD
VALLE DEL CAUCA,PALMIRA,INSTITUTO DE EDUCACION COMFENALCO VALLE,CL 31 31 37
CÓRDOBA,MONTERÍA,INSTITUCION EDUCATIVA TRES PALMAS,CORREG TRES PALMAS
ANTIOQUIA,EL CARMEN DE VIBORAL,COLEGIO ANGLO ESPAÑOL,CL 32 29 20
TOLIMA,CASABIANCA,INSTITUCION EDUCATIVA ANTONIO NARIÑO,VDA EL LEMBO
BOYACÁ,DUITAMA,LICEO SANTA MARÍA GORETTI,CL 9 35 74
CAQUETÁ,MILÁN,I.E.R ANGEL RICARDO ACOSTA,INSP SAN ANTONIO
CUNDINAMARCA,EL ROSAL,ESC DE DIRECCIÓN ACADÉMICA - EDIAC,CL 8 5 15
CAUCA,EL TAMBO,C.E. CHAPA,CORREGIMIENTO CHAPA
VALLE DEL CAUCA,CALI,COLEGIO  BAUTISTA  EMMANUEL,KR 85 B 28 09
HUILA,SAN AGUSTÍN,IE EL ROSARIO,VDA EL ROSARIO
NARIÑO,OLAYA HERRERA,INSTITUCION EDUCATIVA LA INMACULADA,IND CALLE HOSPITAL
LA GUAJIRA,MAICAO,INSTITUTO MAREYGUA,CRA 32 NO. 14-19
HUILA,NEIVA,SAN ANTONIO DE ANACONIA,VEREDA SAN ANTONIO DE ANACONIA
ATLÁNTICO,BARRANQUILLA,ESCUELA MIXTA DEL SUR,CL 63 B 9 B 113
ANTIOQUIA,BELLO,C.E DESCUBRIENDO MI MUNDO,CL 37 58 B 04
META,SAN MARTÍN,IE COLEGIO INTEGRADO DE SAN MARTIN,CL 8 CON KR 12
NARIÑO,LOS ANDES,CENTRO EDUCATIVO LA ESMERALDA,VEREDA GUAYABAL
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC ESTRELLITA ESTUDIANTIL                                                                          ,KR 64 64 64
VALLE DEL CAUCA,CALI,COL ORDEN Y LIBERTAD,KR 26 S 106 34
BOLÍVAR,MAGANGUÉ,I.E. SAN JOSE NO 2,CL 16 A KR 15
NARIÑO,POLICARPA,CENTRO EDUCATIVO BRISAS DE SAN PABLO,VEREDA SAN PABLO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL LUIGI PIRANDELLO,KR 113 74 B 06
ATLÁNTICO,BARRANQUILLA,INST. EDUC. SOFIA CAMARGO DE LLERAS,CL 53 D 21 B 21
TOLIMA,IBAGUÉ,GIMNASIO INFANTIL CREANDO SUEÑOS,CLL 40B 4K-42 
SUCRE,SINCELEJO,INSTITUCION EDUCATIVA NUEVA ESPERANZA,CL 43 17 A 06
