nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SANTA CECILIA                                                                                   ,DG 48 SUR 54 B 04
BOLÍVAR,CARTAGENA,INST. EDUC. DEL SOCORRO,MZ 77 LT 5
SUCRE,TOLÚ VIEJO,I.E. LA  INMACULADA CONCEPCION,CORREG VARSOVIA
ANTIOQUIA,ZARAGOZA,C. E. R. EL SALTILLO,VDA EL SALTILLO
CALDAS,MANIZALES,COL. SAN LUIS GONZAGA,CL 54 27 35
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ                                                                ,TV 76 A 83 A 12
ANTIOQUIA,EL BAGRE,I.E. NUEVO HORIZONTE,VDA. PUERTO LOPEZ
ANTIOQUIA,LA ESTRELLA,COLEGIO SOLEIRA                                                                                     ,CL 95S  60-124
CÓRDOBA,SAN PELAYO,CENT EDUC EL GAS,VDA EL GAS
VALLE DEL CAUCA,CALI,JARDIN INFANTIL VERSALLES ,CRA 24 N° 2 A 204
NARIÑO,LA FLORIDA,CENTRO EDUCATIVO TUNJA CHIQUITO,VEREDA TUNJA CHIQUITO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN PEDAG NSTRA SRA DE FATIMA                                                                      ,KR 53 A 51 04 SUR
ANTIOQUIA,GUARNE,COLEGIO PEDAGOGICO SIGLO XXI  COCEP SIGLO XXI                                      ,VDA YOLOMBAL
CUNDINAMARCA,ZIPAQUIRÁ,COLEGIO SAN JUAN BOSCO,KR 16 14 49
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO EL LIMO,VDA. EL LIMO
ATLÁNTICO,BARRANQUILLA,INST. EDUC. DIST. REUVEN FEUERSTEN,KR 1 B 46 G 18
CUNDINAMARCA,SOACHA,LICEO LOS HEROES,CL 35 A SUR 14 C 09
ATLÁNTICO,SOLEDAD,COLEGIO NAZARENO,KR 6 58 C 09
ATLÁNTICO,SOLEDAD,CENTRO PEDAGOICO EL SHADDAI,CL 66 C 5 A 52
SANTANDER,PÁRAMO,COLEGIO NUESTRA SEÑORA DE LA SALUD,IND CRA 4 # 3-49 (CRA. 3 N¿ 5-41 S.P.)
NARIÑO,GUAITARILLA,CENTRO EDUCATIVO SAN GERMAN,VEREDA SAN GERMAN
META,VILLAVICENCIO,COLEGIO RODOLFO LLINÁS,IND B. LA RELIQUIA - SECTOR LA UNIÓN
CALDAS,NEIRA,INSTITUCION EDUCATIVA PIO XII,VDA. CANTADELICIA
CESAR,VALLEDUPAR,SEMILLITAS DEL REINO,CL 3 B 23 13
NARIÑO,TANGUA,CENTRO EDUCATIVO MARQUEZA BAJA,VDA. MARQUEZA BAJA
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA TECNICA DE PASACABALLOS,CORREG. DE PASACABALLOS - SECTOR LOS POSITOS
NARIÑO,ANCUYÁ,CENTRO EDUCATIVO GERMAN,VEREDA GERMAN
CESAR,VALLEDUPAR,COL. M. SANTA ROSA,CALLE 27 5A-125
CUNDINAMARCA,EL COLEGIO,COLEGIO FRAY CRISTOBAL DE TORRES,CL 10 8 A 78
VALLE DEL CAUCA,CALI,INST DOC ROSALÍA PERLAZA,CL 22 # 11-33
CASANARE,MANÍ,IE CAMILO TORRES RESTREPO,CORREG SANTA ELENA DE CUSIVA
NARIÑO,YACUANQUER,CENTRO EDUCATIVO CUATRO ESQUINAS,VEREDA TAINDALA
ATLÁNTICO,PONEDERA,I.E. MARTILLO,CARRERA  2  2A-15
VALLE DEL CAUCA,CALI,SEMILLAS DE JESUS,TRSNVERSAL  26 # D 28 C 21
BOYACÁ,MOTAVITA,I.E.T. AMBIENTAL SOTE PANELAS,VDA SOTE PANELAS
TOLIMA,IBAGUÉ,LICEO INF SAN JOSE,MZ. C . CSA. 38
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA LA ESPERANZA,KR 94 1 A 71 OESTE
CUNDINAMARCA,CHÍA,JARDIN INFANTIL TALLER DE ARTE ARCO IRIS CHIA,KR 2 22 48
PUTUMAYO,PUERTO LEGUÍZAMO,CENTRO ETNOEDUCATIVO RURAL INDIGENA D+ONA SAFIA,CABILDO INDIGENA EL REFUGIO
ANTIOQUIA,CAICEDO,I. E. SAN JUAN BOSCO,KR 4 2 54
ATLÁNTICO,MALAMBO,JARDIN INFANTIL MANANTIAL DE TERNURA,CALLE 10  7  - 23
MAGDALENA,GUAMAL,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SAN PEDRO APOSTOL LAS FLORES,LAS FLORES
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO VUELTA HONDA,CORREGIMIENTO SANTA CECILIA
ANTIOQUIA,CALDAS,COLEGIO COMFAMA -  CALDAS                                                                           ,CL 129 S 49 24
VALLE DEL CAUCA,BUENAVENTURA,COOPERATIVO PERLA DEL PACIFICO COOPERPA,IND AVDA SIMON BOLIVAR Nº 149-18
VALLE DEL CAUCA,EL CERRITO,IE JORGE  ISAACS EL PLACER,CARRERA 2 NO. 5-53
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO JUAN BAUTISTA,KR 50 9 40
NARIÑO,BUESACO,CENTRO EDUCATIVO ALTO MONSERRATE,VDA ALTO MONSERRATE
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF CUENTOS Y RONDAS                                                                           ,CL 79 109 04
VALLE DEL CAUCA,PALMIRA,JARD INF CARRUSEL,CL 47 BIS 39 21
NARIÑO,GUAITARILLA,CENTRO EDUCATIVO LA ESPERANZA,VEREDA LA ESPERANZA
BOYACÁ,SAN MATEO,IE EL CHAPETON,VDA CUICAS BURAGA
SANTANDER,GIRÓN,COLEGIO NEIL ARMSTRONG                                                                              ,CL 29 31 128
ATLÁNTICO,BARRANQUILLA,JARDIN CAMPANITA,KR 72 80 132
BOYACÁ,TUNJA,GIMNASIO GALILEO GALILEI,CL 37 38 66
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL COLOMBO BOLIVIANO                                                                               ,CL 79 107 28
NARIÑO,SAN ANDRES DE TUMACO,INST. VIGOTSKY,KR 7 CL 8 C
BOYACÁ,TUNJA,COLEGIO COLOMBO BRITANICO,CL 19 8 29
CALDAS,LA DORADA,GIMNASIO INFANTIL SEMILLITAS DE AMOR,KR 4 10 71
VALLE DEL CAUCA,BUENAVENTURA,JOSE MARIA  CABAL,KR 62 11 01 BR INDEPENDENCIA II ET
VALLE DEL CAUCA,CALI,JARDÍN Y GUARDERÍA LOS SUPERAMIGOS,CRA 100 # 14 - 116
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO BEREA,CL 115 29 153 LC 2
MAGDALENA,CIÉNAGA,INSTITUTO CRISTIANO SALEM,CALLE 9 # 7-07
CAUCA,SANTANDER DE QUILICHAO,CENTRO EDUCATIVO EMPRESARIAL COMFACAUCA,KR 9 5 53
NORTE DE SANTANDER,CÚCUTA,COL GIMN MODERNO DEL NORTE,CL 8 10 E 48
TOLIMA,LÍBANO,INSTITUCION EDUCATIVA TECNICA ISIDRO PARRA,CL 3 VI MURILLO
CASANARE,YOPAL,IE SAN MATEO,CL 37 12 86
NARIÑO,SAN ANDRES DE TUMACO,C.E. INDIG AWA EL VERDE,GRAN SABALO
NARIÑO,OSPINA,CENTRO EDUCATIVO VILLA DEL SUR,VDA VILLA DEL SUR
NORTE DE SANTANDER,CÚCUTA,COL CAMILO TORRES,VDA NUCLEO DE VIVIENDA
SUCRE,SINCELEJO,INSTITUCION EDUCATIVA MILAGROS,KR 60 29 04
NARIÑO,PASTO,CENT DE ESTIMULACION INTEGL PININOS ,KR 39 21 13
CESAR,AGUACHICA,COLEGIO CRISTIANO EL NORAL,CALLE 4 N¿ 17-36
ANTIOQUIA,TURBO,I.E. EL TRES,CORREG EL TRES
META,VILLAVICENCIO,JARDIN Y MATERNAL INFANTIL MALUF S,CL 19 39 66
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC DIST COLSUBSIDIO TORQUIGUA,CL 64 128 50
TOLIMA,ESPINAL,INSTITUCION EDUCATIVA  CENTEC ,CL 14 9 55
SANTANDER,SAN BENITO,COLEGIO SAN BENITO DE PALERMO,CASCO URBANO
META,PUERTO LÓPEZ,IE CAPITAN MIGUEL LARA,CL 4 6 17
ANTIOQUIA,NECOCLÍ,I. E. R. ZAPATA,CORREG. ZAPATA
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO BELLAVISTA,VEREDA BELLAVISTA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL Y JARD INF MI EDAD FELIZ                                                                        ,DG 112 58 34
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO JOSE FELIX RESTREPO (IED),KR 6 18 B 04 SUR
TOLIMA,LÍBANO,INSTITUCION EDUCATIVA INMACULADA CONCEPCION,CORREG EL CONVENIO
TOLIMA,ANZOÁTEGUI,INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ,KR 3 A 11 37
BOLÍVAR,HATILLO DE LOBA,I.E. DE HATILLO DE LOBA,HATILLO DE LOA CLL. 6 # 6-24
NARIÑO,EL CHARCO,CENTRO EDUCATIVO LA MILAGROSA,VEREDA  EL COCO
QUINDIO,ARMENIA,EUDORO GRANADA,KR 21 CL 3 Y 4
CÓRDOBA,CIÉNAGA DE ORO,IE SAN ISIDRO,CL 2 ESTE 19 B 45
ANTIOQUIA,MEDELLÍN,INST EDUC FELIX HENAO BOTERO,CL 52 NRO 23 51
NARIÑO,PASTO,PREESC PIOLIN ,CL 6 35 05
VALLE DEL CAUCA,CALI,JARDIN INFANTIL MIS PRIMERAS LETRAS,CL 3B NO. 65-40
ANTIOQUIA,CAUCASIA,I. E. MARCO FIDEL SUAREZ,KR 12 12 63
BOYACÁ,SOGAMOSO,LICEO ARDILLITAS CREATIVAS,CALLE 27 NO 10 - 12
CAUCA,LA SIERRA,CENTRO EDUCATIVO LOS ARBOLES,VEREDA LOS ARBOLES
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO LA UNCION DEL ESPIRITU SANTO 1 Y 2,IND BARRIO GAMBOA PARTE ALTA LA CARMELITA
META,VISTAHERMOSA,COLEGIO ANTONIO NARIÑO,CALLE 8 NRO 10-13
LA GUAJIRA,RIOHACHA,CENTRO ETNOEDUCATIVO #3 ,KM 5 VIA MAICAO
META,ACACÍAS,COLEGIO CAMPESTRE MONFORT,IND FINCA VERDE MENTA
VALLE DEL CAUCA,CALI,COL. MIS PRIMERAS LUCES,CL 70 7 B 30
BOYACÁ,SOGAMOSO,COLEGIO UNICAB VIRTUAL,KR 11 12 89 OF 202
AMAZONAS,MIRITI - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,CORREG MIRITI-PARANA
BOLÍVAR,CARTAGENA,COL CRISTIANO BILINGUE DE CARTAGENA,KR 22 29 D 28
CÓRDOBA,SAN ANTERO,LICEO MUNDO DE COLORES,KR 14 23 19
CÓRDOBA,LORICA,CE MI MUNDO DE ALEGRIA,CORREG LA DOCTRINA
NARIÑO,POLICARPA,CENTRO EDUCATIVO PROVIDENCIA,VEREDA PROVIDENCIA
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ,KR 1 D BIS 49 98
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF MOUGLI                                                                                     ,CL 103 70 58
SUCRE,PALMITO,CENTRO DE EDUCACIÓN SEMIESCOLARIZADO  DE LA COSTA (CESCOM),IND CENTRO
NORTE DE SANTANDER,CÚCUTA,COL  RAFAEL URIBE URIBE-PAZ Y FUTURO,AV 5 7 48
ANTIOQUIA,MEDELLÍN,CENT EDUC EMANUEL,KR 71 97 38
VALLE DEL CAUCA,CALI,LICEO MIXTO LA MILAGROSA,KR 46 C 49 06
SANTANDER,LANDÁZURI,COLEGIO LIBERTAD,CL 3 A 3 52
NARIÑO,COLÓN,CENTRO EDUCATIVO DAVID ALTO,VEREDA DAVID ALTO
SANTANDER,BARRANCABERMEJA,COL EL ROSARIO                                                                                      ,IND GERENCIA COMPLEJO BARRANCABERMEJ
CALDAS,MANIZALES,HOGAR INFANTIL ANGELITOS,CL 57 F 9 A 03
CUNDINAMARCA,FUSAGASUGÁ,INSTITUCION EDUCATIVA MUNICIPAL TECNICO DE  ACCION COMUNAL,KR 1 # 8-08 NTE
ANTIOQUIA,APARTADÓ,CORPORACIÓN COLEGIO AMERICANO DE APARTADÓ,CL 94 96 A 22
RISARALDA,PEREIRA,ALTERNATIVA PEDAGÓGICA,KR 4 15 35
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO PIRILA DELICIAS,VDA  LAS DELICIAS
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT PANAMERICANO DE CAPACITACION SEDE ESTRADA                                                      ,AC 72 61 33
CAUCA,BUENOS AIRES,I.E. AGROAMBIENTAL LA NUEVA ESPERANZA,INSPECCION DE POLICIA EL CERAL
ATLÁNTICO,BARRANQUILLA,INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO,CL 86 64 07
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO MARIA JOSE BUENAVENTURA,CL 5 A KR 71
NARIÑO,CUMBITARA,CENTRO EDUCATIVO MONTE ALTO,VEREDA MONTE ALTO
VALLE DEL CAUCA,CALI,LIC INF VENTANITA DEL SABER,IND CL 52 1C2 25
CHOCÓ,BOJAYA,IE LA LOMA DE BOJAYA,CORREG DE LA LOMA
CUNDINAMARCA,FACATATIVÁ,COL EMPRESARIAL LOS ANDES                                   ,CLL 9 1 53
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO EL PARTIDERO,VDA. EL PARTIDERO
SANTANDER,BARRANCABERMEJA,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR CRISTO REY,KR 28 53 08
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN SANTA ROSA DE LIMA                                                                             ,KR 17 33 33
GUAINÍA,PUERTO COLOMBIA,I.E. LEON DE GREIFF ,IND COMUNIDAD DE SAN JOSE RIO GUAINIA
CÓRDOBA,MONTERÍA,I.E. LOS COLORES,CL 2 9 40
HUILA,NEIVA,POLITECNICO DE LAS AMERICAS,CL 6 4 36
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO CARITAS FELICES,KR 18 E 78 D 22
SANTANDER,FLORIDABLANCA,UNID PSICOPEDAG MIS PRIMEROS PASOS,CL 6 # 12-55
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN DEL NORTE,CL 207 70 50
CUNDINAMARCA,MADRID,JARDIN MARIA AUXILIADORA                                      ,CL 15 4 38
ANTIOQUIA,PUERTO BERRÍO,I. E. BOMBONA,CL 64 10 20
BOYACÁ,TUNJA,COLEGIO PEDAGOGICO DE COLOMBIA,CALLE 46 NO 6-42
VALLE DEL CAUCA,GUADALAJARA DE BUGA,LIC INF MANITAS CREATIVAS,CL 10 10 68
TOLIMA,IBAGUÉ,JARDIN INFANTIL SOÑAR Y CRECER,MANZANA D CASA 9 BARRIO VASCONIA
CHOCÓ,QUIBDÓ,IE TECNICA INTEGRADO CARRASQUILLA INDUSTRIAL,KR 7 27 34
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CENT DE APLICACIÓN PEDAGOGICA (CEDAP),KR 21 56 24
NARIÑO,SANTA BÁRBARA,CENTRO EDUCATIVO JUAN VENTURA,VEREDA JUAN VENTURA
ANTIOQUIA,MEDELLÍN,I.E. CAPILLA DEL ROSARIO,CL 6 SUR 79 195
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDIN INFANTIL CAMINOS MAGICOS,CL 66 B 56 B 53
SANTANDER,PIEDECUESTA,CENTRO DE ESTIMULACION Y APRENDIZAJE - MUNDO MAGICO,CL 6 A 15 C 23
SANTANDER,SAN GIL,COLEGIO CAMILO TORRES PARA JOVENES Y ADULTOS,KR 3 2 25
CUNDINAMARCA,GACHANCIPÁ,COL SAN BARTOLOME APOSTOL                                   ,CL 2 B 2 A 42 BR LAS MERCEDES
CÓRDOBA,MOÑITOS,CENTRO EDUCATIVO NUESTRA SEÑORA DEL CARMEN,VDA. BAJO DEL LIMON
VALLE DEL CAUCA,CALI,JARDIN INFANTIL SENDEROS DE  SABIDURIA,IND CL 54 1C1 - 47
NARIÑO,SAN ANDRES DE TUMACO,I.E. BAJO MIRA Y FRONTERA,CORREGIMIENTO CONGAL FRONTERA
NARIÑO,BUESACO,CENTRO EDUCATIVO LA VERANERA,VDA LA VERANERA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO ANDINO,KR 28 51 A 20
SANTANDER,BUCARAMANGA,COL SOC PEDAGOGICA PARA INFANTES                                                                    ,CL 61 7 W 65
ANTIOQUIA,ENVIGADO,CENTRO EDUCATIVO PEQUEÑOS SABIOS                            ,IND CL 38 B S 45  34
ANTIOQUIA,MEDELLÍN,CENT EDUC EL MANZANILLO,VDA EL MANZANILLO
MAGDALENA,ZONA BANANERA,IED LA CANDELARIA,VEREDA CANDELARIA
ANTIOQUIA,AMALFI,I. E. PRESBITERO GERARDO MONTOYA,KR ZEA 21 57
NARIÑO,LA UNIÓN,CENTRO EDUCATIVO VILLA MARIA,VDA VILLA MARIA
BOYACÁ,PUERTO BOYACÁ,I.E.T. JOSE JOAQUIN ORTIZ,KM 2 Y 1/2 VIA BOGOTA
ANTIOQUIA,ENVIGADO,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL                  ,VEREDA ALTO DE LAS PALMAS KILOMETRO 16
SANTANDER,FLORIDABLANCA,COLEGIO ISIDRO CABALLERO DELGADO,CL 119 38 10
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO GREGORIANO,KR 19 1 B 56
CAUCA,PIENDAMÓ,CENTRO EDUCATIVO EL MANGO,VEREDA EL MANGO
LA GUAJIRA,RIOHACHA,CENTRO ETNOEDUCATIVO #4 ,RESGUARDO INDIGENA EL PASITO
VALLE DEL CAUCA,BUENAVENTURA,INSTITUTO  SILVIA ZAYNAB,KR 13 3 26
BOYACÁ,SABOYÁ,IE NORMAL SUPERIOR,VDA RESGUARDO
ANTIOQUIA,APARTADÓ,I. E. HERACLIO MENA PADILLA,CL 94 92 34
HUILA,NEIVA,COL SAN JOSE,KR  13  #  4-66
ANTIOQUIA,BELLO,COL PARROQUIAL JUAN PABLO II,AV 33 43 35
ANTIOQUIA,MEDELLÍN,C.E. HUELLITAS CREATIVAS,KR 59 45 52
SANTANDER,PIEDECUESTA,COLEGIO BALBINO GARCIA,CL 8 9 50
CÓRDOBA,LORICA,C. E. GIMNASIO MI SEGUNDO HOGAR,KR 29 19 62
BOYACÁ,MONIQUIRÁ,I.E. ANTONIO NARIÑO,CL 19 # 13 - 00
VALLE DEL CAUCA,CALI,COLEGIO HERNANDO CAICEDO,KR 46 42 25
HUILA,PITALITO,COL ATENEO AUTONOMO DE COLOMBIA,DG 3 S 1 B 20
CUNDINAMARCA,MADRID,COLEGIO PARROQUIAL MI SAGRADA FAMILIA,KR 21 1 44
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA SAN LUCAS,CL VALENCIA 61 44
QUINDIO,ARMENIA,EL PORTAL DEL SABER,CL 22 29 05
RISARALDA,DOSQUEBRADAS,CAJITA DE SUENOS NIDO MATERNO,KR 17 17 176
VALLE DEL CAUCA,PALMIRA,COL VILLA DE LAS PALMAS,CL 30 15 78
TOLIMA,IBAGUÉ,JARDIN TERTULIA INFANTIL,CLL 58 NO 5-50
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL CAJACOPI,KR 53 55 210
CAQUETÁ,LA MONTAÑITA,I.E. R. REINA BAJA,VDA REINA BAJA
BOLÍVAR,CARTAGENA,COL. MARIA MONTESORRI,MZ D LT 10 Y 11 6
ANTIOQUIA,MEDELLÍN,INST PEDAG CLARET,KR 46 72 43
CAUCA,PATÍA,I.E. SIMON BOLIVAR,CL. 3 A 3-02
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC LOS CENTAUROS                                                                                   ,CL 67 D 105 B 04
BOYACÁ,DUITAMA,CENTRO EDUCATIVO QUEBRADA DE BECERRAS,VDA QUEBRADA DE BECERRA
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO BENDICIONES,KR 101 CL PRINCIPAL MZ 6
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",FUND COL MAYOR DE SAN BARTOLOME                                                                     ,KR 7 9 96
LA GUAJIRA,DIBULLA,CENTRO EDUCATIVO RURAL DE RIO ANCHO,CLL 1 CRA 2 N° 2-53
SANTANDER,CARCASÍ,INSTITUCION EDUCATIVA  AGUATENDIDA,VEREDAPARAMO
BOYACÁ,TUNJA,LICEO SAN FRANCISCO TUNJA,MZ. M CASA 1
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO MI REFUGIO ,CL 38 C 20 36
SUCRE,CAIMITO,I.E. GIMNASIO DEL ROSARO,KR 11 14 9
HUILA,ACEVEDO,I.E. JOSE ACEVEDO Y GOMEZ,JOSE ACEVEDO Y GOMEZ
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN LOS ROBLES                                                                                     ,IND AUTOP. NORTE CARRET. GUAYMARAL CHIA KM. 5
MAGDALENA,SANTA MARTA,COLEGIO GIMNASIO SANTIAGO DE CALI,CL 18 21 122
ATLÁNTICO,BARRANQUILLA,INSTITUTO REINA DE LOS ANGELES,KR 1 J 35 C 03
SANTANDER,FLORIDABLANCA,COLEGIO NUESTRA SEÑORA DE LA CANDELARIA,CL 113 45 68
CUNDINAMARCA,LA CALERA,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL INTEGRADO,VEREDA MUNDO NUEVO
BOLÍVAR,CARTAGENA,COL PILAR DEL SABER (ANTES JARD. INF. PIOLIN),KR 1 1 A 41
ANTIOQUIA,BELLO,CE ESCALITAS,CLL 52 NO 58-35 
CUNDINAMARCA,COTA,COL CONSEJERIA INTEGRAL PARA LA EDUCACION CIE               ,CLL 12 NO 4 18
ANTIOQUIA,COPACABANA,C.E. PASO A PASO                                                                        ,CL 49 48 39
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,I. E. FRANCISCO ABEL GALLEGO,CL 17 26 14
SANTANDER,SAN GIL,CORPORACION EDUCATIVA PARA JOVENES Y ADULTOS GENERAL SANTANDER,KR 10 15 23
QUINDIO,SALENTO,GIMN INGLES,KM 3 VIA CIRCASIA
SANTANDER,LA PAZ,INSTITUCION EDUCATIVA  LA LOMA,VEREDA CASAS BLANCAS
VALLE DEL CAUCA,ROLDANILLO,COL GIMNASIO NORTE DEL VALLE,CL 7 1 98
VALLE DEL CAUCA,CALI,COL STA CATALINA DE SIENA,CRA 27A 31A-15
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PARROQ SAN ROQUE                                                                                ,KR 19 A 6 B 22
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO NUEVO MILENIO,CL 63 B 12 118
NARIÑO,BARBACOAS,CENTRO EDUCATIVO EL DESCANSO,CARRETERA NACIONAL
TOLIMA,ATACO,INSTITUCION EDUCATIVA ANTONIO NARIÑO,VDA EL PAUJIL
VALLE DEL CAUCA,BUENAVENTURA,COLEGIO BARTOLOME DE LAS CASAS,CL 6 47 C 70
META,GRANADA,IE JOSE ANTONIO GALAN,INSP. DE AGUAS CLARAS
SANTANDER,MÁLAGA,LICEO NUESTRA SEÑORA DE FÁTIMA,KR 7 10 99
NARIÑO,BARBACOAS,CENTRO EDUCATIVO CANDILLAS,CANDILLAS
CUNDINAMARCA,CAJICÁ,HOGAR INF EL CANELON                                        ,KM 27 VIA CAJICA BOGOTA
META,VILLAVICENCIO,COLEGIO LA CASITA DEL SABER,KR 43 D 18 12
NARIÑO,PASTO,INSTITUTO BET - EL,CL 15 27 80
RISARALDA,DOSQUEBRADAS,JARDIN INFANTIL HUELLITAS DE COLORES,KR 2 17 A 03
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED),KR 19 11 17
VALLE DEL CAUCA,CALI,COLEGIO COMFANDI EL PRADO,IND KR 23 26B 20 Y CL 29 25A 29
RISARALDA,DOSQUEBRADAS,INSTITUTO DOCENTE MANITAS CREATIVAS,KR 9 48 03
CESAR,VALLEDUPAR,COL. PABLO SEXTO SEDE B,CALLE 16 27-23
CALDAS,LA DORADA,INSTITUCION EDUCATIVA CIENCIA Y SABER,CL 17 8 46
CAUCA,MORALES,CENTRO INTEGRAL DE FORMACIÓN E INVESTIGACIÓN WAMPIANO,CABILDO WAMPIANO DE SAN ANTONIO
SUCRE,GUARANDA,I.E. LA CONCORDIA,CORREG LA CONCORDIA
VALLE DEL CAUCA,CALI,COL.SANTA MARIA DE PANCE,KR 143 0 47
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",EXTERN SIMON BOLIVAR                                                                                ,KR 16 59 23
ATLÁNTICO,BARRANQUILLA,ESCUELA KIWANIS,KR 26 A 79 A 31
VALLE DEL CAUCA,CALI,LA PRESENTACION EL PARAISO,KR 28 B 33 E 29
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA ALBERTO CARVAJAL BORRERO,KR 14 58 00
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO MODERNO BRITANICO,DG 83 A 86 18
SANTANDER,BUCARAMANGA,IE LICEO PATRIA,KR 33 18 53
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO EL LIBERTADOR (IED),CL 33 SUR 24 B 20
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC SOMA                                                                                            ,KR 64 B 57 B 95 SUR
ANTIOQUIA,BELLO,I.E. SAN NICOLAS ,KR 41 C 21 E 24
BOYACÁ,TUNJA,CENT EDUCAT  LUNA MAGICA,CALLE 20 7 56
ANTIOQUIA,ITAGUI,ESCUELA MALTA CERVUNION                                     ,CL 36 53 56
VALLE DEL CAUCA,YUMBO,COL TESORO DEL SABER,KR 4 8 61
SUCRE,LOS PALMITOS,I.E. LOS PALMITOS,CR 11 NO 5 - 94 CALLE REAL
CHOCÓ,BAGADÓ,IE SAN ISIDRO,SAN MARINO
QUINDIO,PIJAO,LA MARIELA,VDA LA MARIELA
CÓRDOBA,MONTERÍA,LIC DE LOS ANDES,MZ I 2 LT 1
CHOCÓ,ALTO BAUDÓ,CE HERMANO ANSELMO MOLANO,ALTO BAUDO
CUNDINAMARCA,SOACHA,JARDIN INFANTIL QUINTANARES,CL 5 5 B 10
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA PARA LAS CIENCIAS  ARTES Y TECNOLOGIA DEL CARIBE,CLL 10 #10B-22
CÓRDOBA,MONTELÍBANO,LICEO SAN FRANCISCO JAVIER,KR 6 A 21 63
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF MATERNAL LA CASITA DEL SABER                                                               ,KR 29 B 1 A 77
CUNDINAMARCA,TOPAIPÍ,INSTITUCION EDUCATIVA DEPARTAMENTAL DE TOPAIPI,TOPAIPI CENTRO
SANTANDER,BUCARAMANGA,COL COLOMBO ITALIANO                                                                                ,KR 2 AW 61 02
SANTANDER,PIEDECUESTA,COLEGIO PSICOPEDAGOGICO NUEVOS HORIZONTES                                                           ,CL 7 ONO 9 54
MAGDALENA,ARACATACA,INSTITUCION EDUCATIVA DEPARTAMENTAL ELVIA VIZCAINO DE TODARO,CALLE 5 NO 3A - 130
BOLÍVAR,CARTAGENA,FUNDACION INSTITUTO DE HABILITACION EL ROSARIO,KR 81 22 229 BR SAN FERNANDO
