Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Kilimanjaro,Same,Maore,KWAMBEGU,S.5239,S5874,Government,-4.2596731,38.0529922,78,103,81,100,63,89,60,71,0,0,0,0,282,363,7,8,7,8,43,43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Maore,RHINO TECHNICAL,S.5085,S5681,Non-Government,-4.26667,38.048578,13,8,18,9,19,5,25,10,0,0,0,0,75,32,11,2,11,2,8,8,64,64,64,3.4751,5,5,923,278,40 and More
Kilimanjaro,Same,Mhezi,CHANJAGAA,S.815,S1113,Government,-4.14908,37.88557,31,30,24,26,23,29,35,24,0,0,0,0,113,109,8,3,8,3,20,20,57,57,40,4.2505,7,7,3719,2776,40 and More
Kilimanjaro,Same,Mhezi,KAZITA,S.3111,S3254,Government,-4.1560918,37.8477321,22,20,19,23,15,10,14,20,0,0,0,0,70,73,11,2,11,2,11,11,33,32,22,4.1611,7,7,769,3404,Less than 40
Kilimanjaro,Same,Mpinji,KIMALA,S.1273,S1821,Government,-4.39859,37.97247,60,48,42,46,42,56,54,60,0,33,0,24,198,267,19,4,19,4,20,20,104,102,92,3.969,6,7,2654,3234,40 and More
Kilimanjaro,Same,Mshewa,KWIZU,S.716,S0945,Government,-4.1310933,37.9070613,32,40,37,35,32,31,18,38,0,0,0,0,119,144,10,5,10,5,18,18,104,101,66,4.2072,7,7,3596,3473,40 and More
Kilimanjaro,Same,Mshewa,MANKA,S.160,S0349,Non-Government,-4.1696517,37.9195537,1,5,12,7,7,4,5,9,0,0,0,0,25,25,3,3,3,3,8,8,18,17,15,4.0508,7,6,712,698,Less than 40
Kilimanjaro,Same,Msindo,MADIVENI,S.664,S0941,Government,-8.8257562,40.8636133,34,37,24,44,16,33,19,19,0,0,0,0,93,133,12,1,12,1,17,17,55,52,33,4.2592,7,8,3739,3657,40 and More
Kilimanjaro,Same,Msindo,ST. LEONARD,S.4835,S5448,Non-Government,-4.18924,37.941267,39,37,51,20,54,34,57,41,0,0,0,0,201,132,13,3,13,3,21,21,79,79,79,2.3537,3,4,242,293,40 and More
Kilimanjaro,Same,Mtii,MTII,S.796,S1082,Government,-4.303582,38.000467,31,32,27,39,28,44,27,26,0,0,0,0,113,141,11,2,11,2,20,20,82,81,50,4.3699,8,7,3956,3625,40 and More
Kilimanjaro,Same,Mwembe,KASEMPOMBE,S.3107,S3250,Government,-4.1618731,37.8251922,41,44,32,54,24,47,27,43,0,0,0,0,124,188,10,3,10,3,24,24,75,73,42,4.435,8,9,4017,3873,40 and More
Kilimanjaro,Same,Mwembe,KIRINJIKO ISLAMIC,S.871,S0188,Non-Government,-4.1387939,37.7724886,82,66,58,72,95,95,109,106,22,59,35,35,401,433,43,12,43,12,15,15,206,206,206,2.6891,4,4,385,329,40 and More
Kilimanjaro,Same,Mwembe,TUMAINI JEMA,S.5319,S5967,Non-Government,-4.15096,37.761014,12,17,12,8,19,14,14,12,0,0,0,0,57,51,7,1,7,1,14,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Myamba,MANG'A,S.5245,S5870,Government,-4.3948055,38.007309,30,34,27,37,6,35,0,0,0,0,0,0,63,106,4,5,4,5,19,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Kilimanjaro,Same,Myamba,MYAMBA,S.898,S1108,Government,-4.3858737,37.9871383,40,53,66,53,25,35,40,63,0,0,0,0,171,204,10,6,10,6,23,23,118,112,66,4.3153,8,7,3880,3549,40 and More
Kilimanjaro,Same,Myamba,PARANE,S.169,S0353,Non-Government,-8.7832,34.5085,20,13,13,11,18,26,15,15,19,10,15,7,100,82,14,5,14,4,10,10,81,70,68,3.1926,5,4,631,133,40 and More
Kilimanjaro,Same,Ndungu,LONAT,S.4423,S5022,Non-Government,-4.3989027,38.0755056,19,22,9,7,6,8,15,7,0,0,0,0,49,44,9,7,9,7,6,6,28,28,28,3.5829,6,7,435,857,Less than 40
Kilimanjaro,Same,Ndungu,NDUNGU,S.736,S0872,Government,-4.3913313,38.075414,106,147,127,172,75,150,77,113,0,0,0,0,385,582,16,7,16,7,42,42,202,202,152,4.2367,7,7,3682,2727,40 and More
Kilimanjaro,Same,Njoro,MIGHARA,S.5177,S5893,Government,-3.980699,37.676216,32,23,24,18,18,20,28,16,0,0,0,0,102,77,9,7,9,7,11,11,41,41,37,3.8352,6,0,2037,0,40 and More
