geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-004114,2011,50101026,,0,,0,,,,
HND-004005,2011,50100342,1,0,1,0,,,,
HND-003882,2011,50100062,1,0,1,0,,,,
HND-003957,2011,50100193,1,0,1,0,,,,
HND-003862,2011,50100036,1,0,1,1,,,,
HND-003851,2011,50100022,1,0,1,1,,,,
HND-003956,2011,50100188,,0,,0,,,,
HND-003887,2011,50100068,1,0,1,0,,,,
HND-003976,2011,50100262,1,0,1,0,,,,
HND-004023,2011,50100447,1,0,1,0,,,,
HND-004066,2011,50100678,1,0,1,0,,,,
HND-003864,2011,50100041,1,0,1,1,,,,
HND-004084,2011,50100795,,0,,0,,,,
HND-004144,2011,50101234,,0,,0,,,,
HND-004133,2011,50101173,1,0,1,0,,,,
HND-004040,2011,50100523,1,0,1,0,,,,
HND-004009,2011,50100357,1,0,1,0,,,,
HND-004038,2011,50100520,1,0,1,0,,,,
HND-003933,2011,50100127,1,0,1,1,,,,
HND-016458,2011,180400124,,0,,0,,,,
HND-016394,2011,180400024,1,0,1,0,,,,
HND-016511,2011,180400274,,0,,0,,,,
HND-016516,2011,180400301,,0,,0,,,,
HND-016435,2011,180400070,0,0,1,0,,,,
HND-016437,2011,180400072,0,0,1,1,,,,
HND-016480,2011,180400165,,0,,0,,,,
HND-016471,2011,180400147,,0,,0,,,,
HND-016505,2011,180400260,,0,,0,,,,
HND-016483,2011,180400177,1,0,1,1,,,,
HND-004728,2011,50900038,1,0,1,0,,,,
HND-016532,2011,180400339,,,,,,,,
HND-016433,2011,180400067,1,0,0,1,,,,
HND-016461,2011,180400129,,0,,0,,,,
HND-016432,2011,180400066,1,0,1,0,,,,
HND-016508,2011,180400267,,0,,0,,,,
HND-016476,2011,180400158,,0,,0,,,,
HND-016438,2011,180400073,0,0,1,1,,,,
HND-016475,2011,180400156,,0,,0,,,,
HND-016434,2011,180400068,0,0,1,0,,,,
HND-004708,2011,50900009,0,0,1,1,,,,
HND-004725,2011,50900031,,0,,0,,,,
HND-005037,2011,51200050,1,0,1,1,,,,
HND-005027,2011,51200028,1,0,1,0,,,,
HND-005036,2011,51200049,1,0,1,1,,,,
HND-005020,2011,51200011,1,0,1,0,,,,
HND-005047,2011,51200094,1,0,1,0,,,,
HND-005016,2011,51200006,,0,,0,,,,
HND-005051,2011,51200137,1,0,1,0,,,,
HND-005049,2011,51200108,1,0,1,1,,,,
HND-005025,2011,51200025,1,0,1,0,,,,
HND-005032,2011,51200041,1,0,1,0,,,,
HND-005053,2011,51200149,,0,,0,,,,
HND-005045,2011,51200089,1,0,1,1,,,,
HND-005026,2011,51200026,1,0,1,0,,,,
HND-005033,2011,51200042,1,0,1,1,,,,
HND-005040,2011,51200069,,0,,0,,,,
HND-005050,2011,51200112,0,0,1,0,,,,
HND-005024,2011,51200024,1,0,1,0,,,,
HND-005023,2011,51200023,,0,,0,,,,
HND-016467,2011,180400140,1,0,1,1,,,,
HND-016498,2011,180400221,,0,,0,,,,
HND-016485,2011,180400185,1,0,1,0,,,,
