code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
20513806,Sidi Bouzid,MAKNASSY,E.PREP.IBN KHALDOUN MAKNASSI,E.PREP,سيدي بوزيد,المكناسي,513806,م.إ.  ابن خلدون بالمكناسي,,اعدادي,34.60337883728668,9.613165855407715
20513807,Sidi Bouzid,MAKNASSY,E.PREP. IBN MOUKAFAA   MAKNASSI,E.PREP,سيدي بوزيد,المكناسي,513807,م.إ. إبن المقفع  بالمكناسي,,اعدادي,34.599,9.607
40513808,Sidi Bouzid,MAKNASSY,L.IBN ROCHD MEKNASSI,LYCEE,سيدي بوزيد,المكناسي,513808,معهد  ابن رشد بالمكناسي,,معهد,34.59730646401318,9.610151052474976
20513907,Sidi Bouzid,MAZZOUNA,E.PREP.MAZZOUNA,E.PREP,سيدي بوزيد,المزونة,513907,م.إ.  بالمزونة,,اعدادي,34.58816879340854,9.840177297592163
40513908,Sidi Bouzid,MAZZOUNA,L.MAZZOUNA,LYCEE,سيدي بوزيد,المزونة,513908,معهد  المزونة,,معهد,34.58307756770592,9.84398066997528
20513909,Sidi Bouzid,MAZZOUNA,E.PREP.ASSAD B.FOURAT MAZOUNA,E.PREP,سيدي بوزيد,المزونة,513909,م.إ.   أسد بن الفـرات بالمزّونـة,,اعدادي,33.2280565,10.8903099
40513910,Sidi Bouzid,MAZZOUNA,L.IBN HAZM  MAZOUNA    ,LYCEE,سيدي بوزيد,المزونة,513910,معهد  إبن حزم بالمزونة  ,,معهد,34.584,9.836
20513911,Sidi Bouzid,MAZZOUNA,E.PREP.OKBA .B.NAFAA MAZZOUNA,E.PREP,سيدي بوزيد,المزونة,513911,م.إ.عقبة بن نافع المزونة,,اعدادي,34284943,9415690
40514507,Sidi Bouzid,OULED HAFFOUZ,L.OULED HAFFOUZ,LYCEE,سيدي بوزيد,أولاد حفوز,514507,معهد  أولاد حفوز,,معهد,35.08429446815123,9.87566962838173
20514508,Sidi Bouzid,OULED HAFFOUZ,E.PREP.OULED HAFFOUZ,E.PREP,سيدي بوزيد,أولاد حفوز,514508,م.إ.  بأولاد حفوز,,اعدادي,35.07899938890636,9.851981699466705
