geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ARG-000125,60026800,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 JULIO ARGENTINO ROCA,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000126,60026900,ESCUELA DE EDUCACIÓN PRIMARIA Nº24 YAPEYU,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000127,60027100,COLEGIO PARROQUIAL DEL PATRIARCA SAN JOSE,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000128,60027200,INSTITUTO FUTURO ARGENTINO,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000129,60028200,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 NUESTRA SEÑORA DE LA MERCED,,ARG,Buenos Aires,SAAVEDRA,
ARG-000130,60028300,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 DOMINGO FAUSTINO SARMIENTO,,ARG,Buenos Aires,SAAVEDRA,
ARG-000131,60028400,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 HIPOLITO YRIGOYEN,,ARG,Buenos Aires,SAAVEDRA,
ARG-000132,60028500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,,ARG,Buenos Aires,SAAVEDRA,
ARG-000133,60028700,COLEGIO LA SALLE,,ARG,Buenos Aires,SAAVEDRA,
ARG-000134,60028800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,,ARG,Buenos Aires,SAAVEDRA,
ARG-000135,60028900,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 TENIENTE GENERAL LUIS MARIA CAMPOS,,ARG,Buenos Aires,SAAVEDRA,
ARG-000136,60029000,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 GABRIELA MISTRAL,,ARG,Buenos Aires,SAAVEDRA,
ARG-000137,60029200,ESCUELA DE EDUCACIÓN PRIMARIA Nº11 LUIS ZUBERBULHER,,ARG,Buenos Aires,SAAVEDRA,
ARG-000138,60029500,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 JOSÉ HERNANDEZ,,ARG,Buenos Aires,CAMPANA,
ARG-000139,60029600,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 JOSÉ MANUEL ESTRADA,,ARG,Buenos Aires,CAMPANA,
ARG-000140,60029800,ESCUELA MUNICIPAL Nº1 JUAN GALO DE LAVALLE,,ARG,Buenos Aires,CHASCOMUS,
ARG-000141,60030300,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 TTE. HECTOR RICARDO VOLPONI,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000142,60030400,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 JOSÉ MANUEL ESTRADA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000143,60030500,COLEGIO SAN JOSE,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000144,60030600,ESCUELA DE EDUCACION PRIMARIA Nº56,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000145,60030800,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 REMEDIOS DE ESCALADA DE SAN MARTIN,,ARG,Buenos Aires,CORONEL SUAREZ,
ARG-000146,60030900,ESCUELA DE EDUCACIÓN PRIMARIA Nº17 BERNARDINO RIVADAVIA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000147,60031000,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 MANUEL CARRERA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000148,60031200,ESCUELA DE EDUCACIÓN PRIMARIA Nº54,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000149,60031400,ESCUELA DE EDUCACIÓN PRIMARIA Nº51 FLORENTINO AMEGHINO,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000150,60031500,ESCUELA DE EDUCACIÓN PRIMARIA Nº49 STELLA MARIS,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000151,60031600,ESCUELA DE EDUCACIÓN PRIMARIA Nº48 AMERICA LATINA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000152,60031700,COLEGIO DIVINO ROSTRO,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000153,60031800,ESCUELA DE EDUCACIÓN PRIMARIA Nº53 JUANA MANSO,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000154,60031900,ESCUELA JUAN GUTENBERG,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000155,60032100,INSTITUTO JUAN GUTENBERG,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000156,60032200,INSTITUTO NUESTRA SEÑORA DEL CARMEN,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000157,60032300,ESCUELA DE EDUCACIÓN PRIMARIA Nº47 MARTÍN MIGUEL DE GÜEMES,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000158,60032400,ESCUELA DE EDUCACIÓN PRIMARIA Nº46 ROSARIO VERA PEÑALOZA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000159,60032700,ESCUELA DE EDUCACIÓN PRIMARIA Nº34 DINAMARCA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000160,60032900,ESCUELA DE EDUCACIÓN PRIMARIA Nº32 PAULA ALBARRACIN DE SARMIENTO,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000161,60033000,ESCUELA DE EDUCACIÓN PRIMARIA Nº28 ANTARTIDA ARGENTINA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000162,60033100,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 REMEDIOS ESCALADA DE SAN MARTIN,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000163,60033200,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ALMIRANTE GUILLERMO BROWN,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000164,60033400,INSTITUTO SAN MARTÍN DE TOURS,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000165,60033600,ESCUELA SAN MARTÍN DE TOURS,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000166,60033800,ESCUELA DE EDUCACIÓN PRIMARIA Nº35 JOAQUIN VICTOR GONZALEZ,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000167,60034100,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 RECONQUISTA,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000168,60034300,INSTITUTO DON ORIONE,,ARG,Buenos Aires,SAN FERNANDO,
ARG-000169,60034500,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 JUAN BAUTISTA ALBERDI,,ARG,Buenos Aires,GENERAL LA MADRID,
ARG-000170,60034600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 MANUEL BELGRANO,,ARG,Buenos Aires,GENERAL LA MADRID,
ARG-000171,60034700,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 GREGORIO ARAOZ DE LA MADRID,,ARG,Buenos Aires,GENERAL LA MADRID,
ARG-000172,60035000,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 FRAY JUSTO SANTA MARIA DE ORO,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000173,60035200,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 MARIANO MORENO,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000174,60035500,ESCUELA DE EDUCACIÓN PRIMARIA Nº7 FRANCISCO N.DE LAPRIDA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000175,60035600,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 REPUBLICA DE ITALIA,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000176,60035700,ESCUELA DE EDUCACIÓN PRIMARIA Nº13 CONSTANCIO VIGIL,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000177,60035800,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 JUAN BAUTISTA ALBERDI,,ARG,Buenos Aires,TRES ARROYOS,
ARG-000178,60036300,INSTITUTO DON BOSCO,,ARG,Buenos Aires,VILLARINO,
ARG-000179,60036400,ESCUELA PADRE PEDRO BONACINA,,ARG,Buenos Aires,VILLARINO,
ARG-000180,60036500,COLEGIO MADRE MAZZARELLO,,ARG,Buenos Aires,VILLARINO,
ARG-000181,60036600,ESCUELA DE EDUCACIÓN PRIMARIA Nº40 JORGE NEWBERY,,ARG,Buenos Aires,VILLARINO,
ARG-000182,60036700,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 NICOLAS MARINO,,ARG,Buenos Aires,VILLARINO,
ARG-000183,60036900,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 JOSÉ MANUEL ESTRADA,,ARG,Buenos Aires,VILLARINO,
ARG-000184,60037000,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ESPAÑA,,ARG,Buenos Aires,VILLARINO,
ARG-000185,60037100,ESCUELA DE EDUCACIÓN PRIMARIA Nº14 ALMIRANTE GUILLERMO BROWN,,ARG,Buenos Aires,VILLARINO,
ARG-000186,60037500,ESCUELA DE EDUCACIÓN PRIMARIA Nº7 ESTEBAN ECHEVERRIA,,ARG,Buenos Aires,CHASCOMUS,
ARG-000187,60037600,ESCUELA DE EDUCACIÓN PRIMARIA Nº53 ALEJANDRA CERNADAS,,ARG,Buenos Aires,CHASCOMUS,
ARG-000188,60037700,ESCUELA DE EDUCACIÓN PRIMARIA Nº30 MARIANO MOLLA VILLANUEVA,,ARG,Buenos Aires,CHASCOMUS,
ARG-000189,60037800,ESCUELA MUNICIPAL Nº2 HIPOLITO BOUCHARD,,ARG,Buenos Aires,CHASCOMUS,
ARG-000190,60038000,ESCUELA PRIMARIA ALBERGUE Nº3 ESTANISLAO DEL CAMPO,,ARG,Buenos Aires,VILLARINO,
ARG-000191,60038100,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 JUAN MANUEL BIOCCA,,ARG,Buenos Aires,VILLARINO,
ARG-000192,60038300,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 TAMBOR DE TACUARI,,ARG,Buenos Aires,VILLARINO,
ARG-000193,60038500,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 PAULA ALBARRACIN DE SARMIENTO,,ARG,Buenos Aires,VILLARINO,
