geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-004062,,LA UNION,,CRI,PUNTARENAS,MONTES DE ORO,UNION
CRI-004063,,SAN BUENAVENTURA,,CRI,PUNTARENAS,MONTES DE ORO,UNION
CRI-004064,,TOLOKSACO,,CRI,LIMON,MATINA,BATAN
CRI-004065,,LLANO GRANDE,,CRI,SAN JOSE,PURISCAL,MERCEDES SUR
CRI-004066,,ESTERONES,,CRI,GUANACASTE,NICOYA,SAMARA
CRI-004067,,PLAYA TORRES,,CRI,PUNTARENAS,PUNTARENAS,PUNTARENAS
CRI-004068,,LA FILA DEL AGUACATE,,CRI,SAN JOSE,PURISCAL,CHIRES
CRI-004069,,LAS ANIMAS,,CRI,PUNTARENAS,GOLFITO,GOLFITO
CRI-004070,,ESTERO DE COLORADO,,CRI,PUNTARENAS,GOLFITO,PAVON
CRI-004071,,GIL GONZALEZ DAVILA,,CRI,PUNTARENAS,ESPARZA,SAN JERONIMO
CRI-004072,,JUSTO ANTONIO FACIO,,CRI,PUNTARENAS,ESPARZA,SAN RAFAEL
CRI-004073,,ROXANA,,CRI,GUANACASTE,NANDAYURE,SANTA RITA
CRI-004074,,CALDERA,,CRI,PUNTARENAS,ESPARZA,ESPIRITU SANTO
CRI-004075,,RIO ORO,,CRI,PUNTARENAS,GOLFITO,PUERTO JIMENEZ
CRI-004076,,QUEBRADA LA TARDE,,CRI,PUNTARENAS,GOLFITO,PUERTO JIMENEZ
CRI-004077,,LAS DELICIAS,,CRI,PUNTARENAS,GOLFITO,GUAYCARA
CRI-004078,,INVU LA GUARIA,,CRI,PUNTARENAS,PARRITA,PARRITA
CRI-004079,,EL REY,,CRI,SAN JOSE,PURISCAL,CHIRES
CRI-004080,,VILLA MILLS,,CRI,SAN JOSE,PEREZ ZELEDON,PARAMO
CRI-004081,,BERLÍN,,CRI,SAN JOSE,PEREZ ZELEDON,PARAMO
CRI-004082,,EL SILENCIO,,CRI,CARTAGO,TURRIALBA,LA SUIZA
CRI-004083,,EL NIVEL,,CRI,SAN JOSE,PEREZ ZELEDON,PARAMO
CRI-004084,,PÁRAMO,,CRI,SAN JOSE,PEREZ ZELEDON,PARAMO
CRI-004085,,PROVIDENCIA,,CRI,SAN JOSE,PEREZ ZELEDON,RIO NUEVO
CRI-004086,,QUEBRADA BONITA,,CRI,PUNTARENAS,COTO BRUS,AGUABUENA
CRI-004087,,EL CARMEN,,CRI,CARTAGO,TURRIALBA,SANTA CRUZ
CRI-004088,,LAGUNAS DE BARÚ,,CRI,PUNTARENAS,AGUIRRE,SAVEGRE
CRI-004089,,LA MARIPOSA,,CRI,PUNTARENAS,CORREDORES,CANOAS
CRI-004090,,PATIO DE AGUA,,CRI,CARTAGO,EL GUARCO,PATIO DE AGUA
CRI-004091,,SANTA CLARA,,CRI,CARTAGO,EL GUARCO,TOBOSI
CRI-004092,,SANTA FE,,CRI,PUNTARENAS,COTO BRUS,PITTIER
CRI-004093,,LOS ÁNGELES,,CRI,GUANACASTE,BAGACES,MOGOTE
CRI-004094,,SANTA CLEMENCIA,,CRI,PUNTARENAS,PUNTARENAS,COBANO
CRI-004095,,GUADALAJARA,,CRI,PUNTARENAS,BUENOS AIRES,BRUNKA
CRI-004096,,SAN JOSÉ,,CRI,SAN JOSE,PEREZ ZELEDON,RIVAS
CRI-004097,,PILÓN,,CRI,PUNTARENAS,BUENOS AIRES,CHANGUENA
CRI-004098,,MONTELIMAR,,CRI,PUNTARENAS,BUENOS AIRES,POTRERO GRANDE
CRI-004099,,TRES RÍOS,,CRI,PUNTARENAS,OSA,PUERTO CORTES
