CÓDIGO COLEGIO; REGIONAL; PROVINCIA; DISTRITO; CORREGIMIENTO; NOMBRE COLEGIO;ÁREA;OFERTA ACADÉMICA; TIPO;APROBADO 1 GRADO HOMBRE;APROBADO 1 GRADO MUJER;APROBADO 2 GRADO HOMBRE;APROBADO 2 GRADO MUJER;APROBADO 3 GRADO HOMBRE;APROBADO 3 GRADO MUJER;APROBADO 4 GRADO HOMBRE;APROBADO 4 GRADO MUJER;APROBADO 5 GRADO HOMBRE;APROBADO 5 GRADO MUJER;APROBADO 6 GRADO HOMBRE;APROBADO 6 GRADO MUJER;REPROBADO 1 GRADO HOMBRE;REPROBADO 1 GRADO MUJER;REPROBADO 2 GRADO HOMBRE;REPROBADO 2 GRADO MUJER;REPROBADO 3 GRADO HOMBRE;REPROBADO 3 GRADO MUJER;REPROBADO 4 GRADO HOMBRE;REPROBADO 4 GRADO MUJER;REPROBADO 5 GRADO HOMBRE;REPROBADO 5 GRADO MUJER;REPROBADO 6 GRADO HOMBRE;REPROBADO 6 GRADO MUJER;DESERTORES 1 GRADO HOMBRE;DESERTORES 1 GRADO MUJER;DESERTORES 2 GRADO HOMBRE;DESERTORES 2 GRADO MUJER;DESERTORES 3 GRADO HOMBRE;DESERTORES 3 GRADO MUJER;DESERTORES 4 GRADO HOMBRE;DESERTORES 4 GRADO MUJER;DESERTORES 5 GRADO HOMBRE;DESERTORES 5 GRADO MUJER;DESERTORES 6 GRADO HOMBRE;DESERTORES 6 GRADO MUJER;DOCENTES;AULAS
238;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;QUEBRADA COCHIGRÓ;RURAL;PRIMARIA MULTIGRADO;OFICIAL;9;6;6;6;3;5;5;7;2;2;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8
239;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;BUENA SELVA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;6;5;2;3;5;3;1;1;6;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
240;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;GUABITO;FINCA 41 ANEXA GUABITO;RURAL;PRIMARIA UNIGRADO;OFICIAL;5;7;13;8;11;8;9;8;9;5;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4
241;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;VALLE DE RISCÓ;BAJO CULUBRE;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;14;13;13;22;11;9;15;12;8;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5
242;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL TERIBE;BAJO SORI;RURAL;PRIMARIA MULTIGRADO;OFICIAL;7;4;6;3;7;7;3;6;4;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
243;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;CHANGUINOLA;SAN SAN MONA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;7;6;5;8;3;3;4;3;9;6;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
244;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL TERIBE;LOMA BANDERA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
245;BOCAS DEL TORO;BOCAS DEL TORO;CHANGUINOLA;EL EMPALME;LOMA MULETO;RURAL;PRIMARIA MULTIGRADO;OFICIAL;14;7;15;9;14;16;9;8;10;10;7;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7
247;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;ALMIRANTE;E.T.G.N.A. BELLA VISTA;RURAL;PRIMARIA MULTIGRADO;OFICIAL;11;6;12;11;13;11;8;9;8;14;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;9
248;BOCAS DEL TORO;BOCAS DEL TORO;ALMIRANTE;VALLE DE RISCÓ;LA CEIBA;INDÍGENA;PRIMARIA MULTIGRADO;OFICIAL;10;12;7;16;11;17;11;8;6;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8
