FID,the_geom,Educ_Code,Educ_Name,Adm2_Name,Adm3_Name,Adm4_Name,Adm4_Code,Educ_Type,Latitude,Longitude,Accuracy,ADM4_COD_1,ADM3_NAM_1,ADM2_NAM_1,NUMBER
sle_educ_pt_steward_schools.16734,POINT (-12.319935864999934 7.418957079000052),SLE_Prim_0084,District Education Committ Primary School,Bonthe,Nongoba Bullom,Bullom,SLE03020803,Primary School,7.41895708,-12.31993586,Needs Validation - STEWARD Project,SLE03020803,Nongoba Bullom,Bonthe,84
sle_educ_pt_steward_schools.16735,POINT (-12.147521816999927 7.363127590000033),SLE_Prim_0085,Patricia Kabba Memorial Primary School -  Dukor,Bonthe,Nongoba Bullom,Gbangbassa,SLE03020805,Primary School,7.36312759,-12.14752182,Needs Validation - STEWARD Project,SLE03020805,Nongoba Bullom,Bonthe,85
sle_educ_pt_steward_schools.16736,POINT (-12.263314786999956 7.377675537000073),SLE_Prim_0086,Saint Theresa's Primary School - Gbap,Bonthe,Nongoba Bullom,Gbap,SLE03020806,Primary School,7.37767554,-12.26331479,Needs Validation - STEWARD Project,SLE03020806,Nongoba Bullom,Bonthe,86
sle_educ_pt_steward_schools.16737,POINT (-12.115405237999937 7.3516825720000725),SLE_Prim_0087,"Bonthe District Education Committee Primary School, -Hahun",Bonthe,Nongoba Bullom,Hahun,SLE03020807,Primary School,7.35168257,-12.11540524,Needs Validation - STEWARD Project,SLE03020807,Nongoba Bullom,Bonthe,87
sle_educ_pt_steward_schools.16738,POINT (-12.131487024999956 7.266551482000068),SLE_Prim_0088,"Islamic Call Society Primary School, Mina",Bonthe,Nongoba Bullom,Kessie,SLE03020808,Primary School,7.26655148,-12.13148702,Needs Validation - STEWARD Project,SLE03020808,Nongoba Bullom,Bonthe,88
sle_educ_pt_steward_schools.16739,POINT (-12.741229673999953 7.624164579000023),SLE_Prim_0089,UMC Primary School,Bonthe,Sitta,Kamai,SLE03020903,Primary School,7.62416458,-12.74122967,Needs Validation - STEWARD Project,SLE03020903,Sittia,Bonthe,89
sle_educ_pt_steward_schools.16740,POINT (-12.70406124799996 7.622025604000044),SLE_Prim_0090,UMC Primary School,Bonthe,Sitta,Kwalloh,SLE03020904,Primary School,7.6220256,-12.70406125,Needs Validation - STEWARD Project,SLE03020904,Sittia,Bonthe,90
sle_educ_pt_steward_schools.16741,POINT (-12.601152887999945 7.636452387000077),SLE_Scho_0091,Jemaika,Bonthe,Sitta,Saama,SLE03020907,School,7.63645239,-12.60115289,Needs Validation - STEWARD Project,SLE03020907,Sittia,Bonthe,91
sle_educ_pt_steward_schools.16742,POINT (-12.082020324999974 7.615911347000065),SLE_Prim_0092,D.E.C. Primary School,Bonthe,Sogbeni,Bakumba,SLE03021001,Primary School,7.61591135,-12.08202032,Needs Validation - STEWARD Project,SLE03021001,Sogbeni,Bonthe,92
sle_educ_pt_steward_schools.16743,POINT (-12.072991139999942 7.584085936000065),SLE_Prim_0093,R.C. Primary School,Bonthe,Sogbeni,Bakumba,SLE03021001,Primary School,7.58408594,-12.07299114,Needs Validation - STEWARD Project,SLE03021001,Sogbeni,Bonthe,93
